Company,Date,Close/Last,Volume,Open,High,Low
oracle,05/26/2020,$52.78,11200710,$53.65,$53.68,$52.65
oracle,05/22/2020,$52.62,7211659,$52.34,$52.64,$52.08
oracle,05/21/2020,$52.22,7464119,$52.76,$52.94,$52.12
oracle,05/20/2020,$52.90,9115916,$53.09,$53.27,$52.645
oracle,05/19/2020,$52.34,9805061,$53.18,$53.25,$52.32
oracle,05/18/2020,$53.15,9901976,$53.91,$53.95,$53.07
oracle,05/15/2020,$52.92,39055670,$52.70,$53.985,$52.52
oracle,05/14/2020,$52.91,13794020,$51.14,$53.025,$50.86
oracle,05/13/2020,$51.65,10274290,$52.43,$52.49,$51.28
oracle,05/12/2020,$52.27,8599125,$53.80,$53.825,$52.25
oracle,05/11/2020,$53.53,8138678,$53.13,$53.83,$53.06
oracle,05/08/2020,$53.57,8131796,$53.19,$53.78,$52.765
oracle,05/07/2020,$52.60,7155008,$52.40,$52.92,$52.27
oracle,05/06/2020,$51.86,7049965,$52.43,$52.50,$51.70
oracle,05/05/2020,$52.05,7271831,$52.22,$52.86,$51.99
oracle,05/04/2020,$51.75,7568136,$51.71,$51.79,$51.10
oracle,05/01/2020,$51.79,8702464,$52.38,$52.44,$51.31
oracle,04/30/2020,$52.97,11808810,$53.47,$53.595,$52.80
oracle,04/29/2020,$53.88,9064459,$53.95,$54.28,$53.69
oracle,04/28/2020,$53.20,8350539,$53.90,$54.1467,$53.13
oracle,04/27/2020,$53.37,9123356,$53.36,$53.64,$53.06
tesla,04/24/2025,$259.51,94464200,$250.50,$259.54,$249.20
tesla,04/23/2025,$250.74,150381900,$254.86,$259.4499,$244.43
tesla,04/22/2025,$237.97,120858500,$230.96,$242.79,$229.8501
tesla,04/21/2025,$227.50,97768010,$230.26,$232.21,$222.79
tesla,04/17/2025,$241.37,83404780,$243.47,$244.34,$237.6833
tesla,04/16/2025,$241.55,112378700,$247.61,$251.97,$233.89
tesla,04/15/2025,$254.11,79594320,$249.91,$258.75,$247.54
tesla,04/14/2025,$252.35,100135200,$258.36,$261.80,$245.93
tesla,04/11/2025,$252.31,128948100,$251.84,$257.74,$241.3629
tesla,04/10/2025,$252.40,181722600,$260.00,$262.49,$239.33
tesla,04/09/2025,$272.20,219433400,$224.69,$274.69,$223.88
tesla,04/08/2025,$221.86,171603500,$245.00,$250.44,$217.80
tesla,04/07/2025,$233.29,183453800,$223.78,$252.00,$214.25
tesla,04/04/2025,$239.43,181229400,$255.38,$261.00,$236.00
tesla,04/03/2025,$267.28,136174300,$265.29,$276.30,$261.51
tesla,04/02/2025,$282.76,212787800,$254.60,$284.99,$251.27
tesla,04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
tesla,03/31/2025,$259.16,134008900,$249.31,$260.56,$243.3601
tesla,03/28/2025,$263.55,123809400,$275.575,$276.10,$260.57
tesla,03/27/2025,$273.13,162572100,$272.48,$291.85,$271.8216
tesla,03/26/2025,$272.06,156254400,$282.66,$284.90,$266.51
tesla,03/25/2025,$288.14,150361500,$283.60,$288.20,$271.28
tesla,03/24/2025,$278.39,169079900,$258.075,$278.64,$256.33
tesla,03/21/2025,$248.71,132728700,$234.985,$249.52,$234.55
tesla,03/20/2025,$236.26,99028270,$233.345,$238.00,$230.0501
tesla,03/19/2025,$235.86,111993800,$231.61,$241.41,$229.201
tesla,03/18/2025,$225.31,111477600,$228.155,$230.10,$222.28
tesla,03/17/2025,$238.01,111900600,$245.055,$245.40,$232.80
tesla,03/14/2025,$249.98,100242300,$247.31,$251.58,$240.73
tesla,03/13/2025,$240.68,114813500,$248.125,$248.29,$232.60
tesla,03/12/2025,$248.09,142215700,$247.22,$251.84,$241.10
tesla,03/11/2025,$230.58,174896400,$225.305,$237.0649,$217.02
tesla,03/10/2025,$222.15,189076900,$252.535,$253.37,$220.00
tesla,03/07/2025,$262.67,102369600,$259.32,$266.2499,$250.73
tesla,03/06/2025,$263.45,98451570,$272.06,$272.65,$260.02
tesla,03/05/2025,$279.10,94042910,$272.92,$279.55,$267.71
tesla,03/04/2025,$272.04,126706600,$270.93,$284.35,$261.8401
tesla,03/03/2025,$284.65,115551400,$300.34,$303.94,$277.30
tesla,02/28/2025,$292.98,115697000,$279.50,$293.88,$273.60
tesla,02/27/2025,$281.95,101748200,$291.16,$297.23,$280.88
tesla,02/26/2025,$290.80,100118300,$303.715,$309.00,$288.04
tesla,02/25/2025,$302.80,134228800,$327.025,$328.89,$297.2512
tesla,02/24/2025,$330.53,76052320,$338.14,$342.3973,$324.70
tesla,02/21/2025,$337.80,74058650,$353.44,$354.98,$334.42
tesla,02/20/2025,$354.40,45965350,$361.51,$362.30,$348.00
tesla,02/19/2025,$360.56,67094370,$354.00,$367.34,$353.67
tesla,02/18/2025,$354.11,51631700,$355.01,$359.10,$350.02
tesla,02/14/2025,$355.84,68277280,$360.62,$362.00,$347.50
tesla,02/13/2025,$355.94,89441520,$345.00,$358.69,$342.85
tesla,02/12/2025,$336.51,105382700,$329.94,$346.40,$329.12
tesla,02/11/2025,$328.50,118543400,$345.80,$349.37,$325.10
tesla,02/10/2025,$350.73,77514900,$356.21,$362.70,$350.51
tesla,02/07/2025,$361.62,70298260,$370.19,$380.5459,$360.34
tesla,02/06/2025,$374.32,77918230,$373.03,$375.40,$363.18
tesla,02/05/2025,$378.17,57614720,$387.51,$388.39,$375.53
tesla,02/04/2025,$392.21,57072240,$382.63,$394.00,$381.40
tesla,02/03/2025,$383.68,93732120,$386.68,$389.17,$374.36
tesla,01/31/2025,$404.60,83568220,$401.53,$419.99,$401.34
tesla,01/30/2025,$400.28,98092880,$410.78,$412.50,$384.41
